iter	RMSE
167	2.008418413
168	2.006991568
169	2.005652312
170	2.004435485
171	2.002905714
172	2.001623068
173	1.999707117
174	1.998742477
175	1.997900274
176	1.996696428
177	1.995783333
178	1.993415893
179	1.99251675
180	1.991126037
181	1.989437367
182	1.988434422
183	1.986913882
184	1.984972259
185	1.984007875
186	1.983108173
187	1.981471426
188	1.97970867
189	1.978396048
190	1.977675292
191	1.976569384
192	1.975605211
193	1.974356053
194	1.973184618
195	1.972457911
196	1.971386199
197	1.970156531
198	1.969251242
199	1.967678466
200	1.966309543
201	1.964992766
202	1.963930487
203	1.962907576
204	1.961540987
205	1.95990598
206	1.959358392
207	1.958005971
208	1.957239291
209	1.9563029
210	1.954551616
211	1.953856043
212	1.952565434
213	1.951942944
214	1.951077558
215	1.948950455
216	1.947510184
217	1.94663645
218	1.94563623
219	1.944645278
220	1.943172072
221	1.941943627
222	1.940677824
223	1.939528157
224	1.938481557
225	1.937634533
226	1.936945419
227	1.936378379
228	1.935606706
229	1.934708319
230	1.933837662
231	1.932970917
232	1.931947875
233	1.930434541
234	1.929458086
235	1.928360207
236	1.927250305
237	1.926262668
238	1.925349399
239	1.924561417
240	1.923443846
241	1.922054777
242	1.921513645
243	1.920289317
244	1.919188643
245	1.918046421
246	1.916648422
247	1.915865442
248	1.915251142
249	1.91416163
250	1.913178708
251	1.912577519
252	1.911464466
253	1.910667181
254	1.909671548
255	1.908466273
256	1.907616593
257	1.907067912
258	1.906408133
259	1.905582447
260	1.905197502
261	1.903849743
262	1.902935216
263	1.901791045
264	1.901025614
265	1.900153597
266	1.899400739
267	1.898012874
268	1.897361607
269	1.896508012
270	1.896008767
271	1.895655097
272	1.895235537
273	1.894894638
274	1.894424735
275	1.893518634
276	1.892814246
277	1.892091415
278	1.891309444
279	1.89029632
280	1.889312256
281	1.888663833
282	1.887861588
283	1.887031452
284	1.886329791
285	1.885635906
286	1.885190352
287	1.884848927
288	1.884090258
289	1.883778324
290	1.882533895
291	1.88186086
292	1.881302233
293	1.880301981
294	1.879751714
295	1.879237045
296	1.878464934
297	1.877732185
298	1.877335148
299	1.876549616
300	1.875650398
301	1.874844459
302	1.874199199
303	1.873907727
304	1.873227119
305	1.872305177
306	1.871752105
307	1.870681436
308	1.870094521
309	1.869458144
310	1.868960567
311	1.868458242
312	1.867651133
313	1.867071363
314	1.865401364
315	1.864367981
316	1.863018399
317	1.862480051
318	1.861857407
319	1.860794428
320	1.86027653
321	1.859569378
322	1.85906409
323	1.858469987
324	1.857609893
325	1.856972769
326	1.856619331
327	1.855671476
328	1.85477136
329	1.854136414
330	1.853296727
331	1.852691705
332	1.851970279
333	1.85133262
334	1.850864857
335	1.850399804
336	1.849236811
337	1.848790482
338	1.84840529
339	1.847691957
340	1.847149539
341	1.846396991
342	1.845901032
343	1.845469425
344	1.844815447
345	1.84442706
346	1.844020826
347	1.84348275
348	1.843245894
349	1.842192649
350	1.841883077
351	1.841408909
352	1.840531737
353	1.839796249
354	1.838995461
355	1.838290886
356	1.837752524
357	1.83705838
358	1.836681464
359	1.836127825
360	1.835704649
361	1.835188503
362	1.834774996
363	1.834212935
364	1.833277762
365	1.832779107
366	1.832312544
367	1.831721265
368	1.831295012
369	1.830787688
370	1.830340787
371	1.829787626
372	1.829057354
373	1.828289819
374	1.827783668
375	1.827164764
376	1.826840706
377	1.826149261
378	1.825813305
379	1.825114774
380	1.82429551
381	1.823952164
382	1.823294197
383	1.822819956
384	1.821988472
385	1.821467995
386	1.821021227
387	1.820693011
388	1.820017879
389	1.81958669
390	1.81913338
391	1.818650333
392	1.81830827
393	1.817802191
394	1.817339914
395	1.816838983
396	1.816498922
397	1.815582674
398	1.815174942
399	1.814535128
400	1.81395935
401	1.813335981
402	1.812794714
403	1.812060062
404	1.81085344
405	1.810588669
406	1.809718006
407	1.809022063
408	1.808481662
409	1.807741465
410	1.807336917
411	1.807000264
412	1.806387583
413	1.805928948
414	1.80530246
415	1.804895476
416	1.804452982
417	1.804067117
418	1.803534399
419	1.803222454
420	1.802868905
421	1.802632181
422	1.802380941
423	1.801663382
424	1.800859125
425	1.800158042
426	1.799731627
427	1.799459905
428	1.79898233
429	1.798540932
430	1.797772953
431	1.797465822
432	1.796763568
433	1.796067281
434	1.795455616
435	1.794899856
436	1.794499563
437	1.794111105
438	1.793555242
439	1.793265318
440	1.792875361
441	1.792448526
442	1.792000473
443	1.791666137
444	1.791371844
445	1.791195258
446	1.790700824
447	1.790309269
448	1.789994984
449	1.789671694
450	1.789258444
451	1.788927772
452	1.788541498
453	1.788096561
454	1.787503504
455	1.787033254
456	1.786479264
457	1.785899006
458	1.785690818
459	1.785294206
460	1.784960172
461	1.784556024
462	1.783794121
463	1.783551184
464	1.783275616
465	1.782912646
466	1.782353612
467	1.781849907
468	1.781345382
469	1.780865663
470	1.780590691
471	1.78016765
472	1.779776104
473	1.779316612
474	1.779131137
475	1.778781046
476	1.778352007
477	1.777962516
478	1.777508795
479	1.777249909
480	1.776779268
481	1.776485233
482	1.776245014
483	1.775840009
484	1.775325212
485	1.774905896
486	1.774631674
487	1.774161615
488	1.773797211
489	1.773110984
490	1.772810593
491	1.772527606
492	1.77219474
493	1.772020542
494	1.77184363
495	1.771397373
496	1.7710463
497	1.77084286
498	1.770658075
499	1.770481544
500	1.770003553
501	1.769739924
502	1.769161027
503	1.7686405
504	1.767794076
505	1.767285526
506	1.767051926
507	1.766839098
508	1.766650334
509	1.76635393
510	1.765965037
511	1.765565488
512	1.765225545
513	1.764977881
514	1.764364385
515	1.76403573
516	1.763596314
517	1.763100323
518	1.762670265
519	1.76231182
520	1.761855446
521	1.761550902
522	1.761319554
523	1.760987539
524	1.760503057
525	1.76013683
526	1.759685491
527	1.759341148
528	1.759198157
529	1.758865692
530	1.758498407
531	1.758275709
532	1.757749308
533	1.757463418
534	1.757321529
535	1.756904504
536	1.75662745
537	1.756313964
538	1.755985746
539	1.755664662
540	1.75496204
541	1.754548387
542	1.754343496
543	1.753871371
544	1.753559683
545	1.753130116
546	1.752815425
547	1.752546652
548	1.752231579
549	1.751816342
550	1.751356956
551	1.75095119
552	1.750657872
553	1.750270038
554	1.750005062
555	1.749511307
556	1.748999798
557	1.748526475
558	1.748270582
559	1.747709832
560	1.747335582
561	1.747025795
562	1.746731559
563	1.746401973
564	1.746042838
565	1.745823212
566	1.745369907
567	1.745014715
568	1.744736352
569	1.744475515
570	1.743851169
571	1.743446586
572	1.743092641
573	1.742824495
574	1.742367722
575	1.742046299
576	1.741720526
577	1.741330715
578	1.741125002
579	1.740918516
580	1.740662008
581	1.740398484
582	1.73971184
583	1.739121238
584	1.738918924
585	1.738714074
586	1.738323908
587	1.738076822
588	1.737767154
589	1.737504764
590	1.737323625
591	1.737032636
592	1.736789748
593	1.736565008
594	1.736139576
595	1.7353459
596	1.735111021
597	1.73474688
598	1.734377848
599	1.734072766
600	1.733751829
601	1.733428983
602	1.732791457
603	1.732268073
604	1.732117211
605	1.731772144
606	1.73142862
607	1.731042572
608	1.730748702
609	1.73037896
610	1.730162247
611	1.729625096
612	1.729389303
613	1.729239914
614	1.728906397
615	1.728508271
616	1.728266347
617	1.72804957
618	1.727529333
619	1.727211131
620	1.726952969
621	1.726762284
622	1.726448951
623	1.726284057
624	1.726053131
625	1.725682016
626	1.725231596
627	1.724823821
628	1.724491271
629	1.724280204
630	1.724059767
631	1.723844696
632	1.723571587
633	1.723397538
634	1.72327462
635	1.722926214
636	1.722663172
637	1.722326277
638	1.722120712
639	1.721954465
640	1.721770902
641	1.721459848
642	1.721228599
643	1.720974864
644	1.720777574
645	1.720600687
646	1.720448837
647	1.720085095
648	1.719765036
649	1.719589585
650	1.719166462
651	1.718827417
652	1.718313692
653	1.718061831
654	1.717826338
655	1.717672336
656	1.717309174
657	1.716941638
658	1.71666508
659	1.716389593
660	1.71616965
661	1.716030455
662	1.715884038
663	1.715631538
664	1.71525785
665	1.715018761
666	1.71486472
667	1.714480192
668	1.71428152
669	1.714020652
670	1.713891288
671	1.713723538
672	1.713398686
673	1.713202974
674	1.71278935
675	1.712289966
676	1.711978867
677	1.711728505
678	1.711393466
679	1.711010293
680	1.710753242
681	1.710444754
682	1.710142115
683	1.709936034
684	1.709792093
685	1.709603055
686	1.709318113
687	1.708865396
688	1.708574323
689	1.708347955
690	1.708141539
691	1.707686507
692	1.707445189
693	1.707195106
694	1.706997918
695	1.706742004
696	1.706563031
697	1.706443962
698	1.706240911
699	1.706043598
700	1.705847872
701	1.70555413
702	1.705265825
703	1.705121133
704	1.70490422
705	1.704703738
706	1.704567297
707	1.704374782
708	1.704094931
709	1.703848946
710	1.703619433
711	1.703400566
712	1.703166935
713	1.702953058
714	1.7027818
715	1.702487141
716	1.702249316
717	1.702070514
718	1.701917085
719	1.70169057
720	1.70141885
721	1.701168252
722	1.700747384
723	1.700483117
724	1.700309137
725	1.700008985
726	1.699735036
727	1.699395671
728	1.699207197
729	1.698879644
730	1.698442225
731	1.698147375
732	1.697836266
733	1.697565417
734	1.69736903
735	1.697111854
736	1.696941255
737	1.696743908
738	1.696447505
739	1.696175462
740	1.695797147
741	1.695641166
742	1.695506418
743	1.69507193
744	1.694854124
745	1.694686091
746	1.694496879
747	1.694181579
748	1.693938965
749	1.693571423
750	1.69335964
751	1.693176342
752	1.693026731
753	1.692751151
754	1.692503348
755	1.692279376
756	1.69211979
757	1.691935502
758	1.691716811
759	1.691354456
760	1.691127228
761	1.690815128
762	1.690636956
763	1.690465025
764	1.690045042
765	1.689873529
766	1.689677665
767	1.689531781
768	1.689278476
769	1.689042093
770	1.688849115
771	1.688708052
772	1.688516282
773	1.688226238
774	1.688059947
775	1.687711411
776	1.687577352
777	1.687200118
778	1.686911343
779	1.68663883
780	1.686355888
781	1.686215773
782	1.686064524
783	1.685829696
784	1.685506857
785	1.68529773
786	1.68515452
787	1.685010436
788	1.684751155
789	1.684502229
790	1.684209103
791	1.683995379
792	1.683778135
793	1.683457136
794	1.683156528
795	1.682876495
796	1.682676186
797	1.682447547
798	1.682333816
799	1.682107764
800	1.681936952
801	1.681773524
802	1.681566071
803	1.681393975
804	1.681080079
805	1.680934453
806	1.680767173
807	1.680643058
808	1.680558688
809	1.680406598
810	1.680180263
811	1.679939842
812	1.679715098
813	1.679507499
814	1.679265396
815	1.679090029
816	1.678911521
817	1.678656479
818	1.678425698
819	1.678268505
820	1.678076581
821	1.677851275
822	1.677678863
823	1.677553852
824	1.677125095
825	1.676890382
826	1.676515756
827	1.676307309
828	1.676134226
829	1.675654949
830	1.675343073
831	1.675033526
832	1.674893347
833	1.674630784
834	1.674202107
835	1.673942033
836	1.673777897
837	1.673641135
838	1.673406126
839	1.673255199
840	1.672944785
841	1.672616456
842	1.672398189
843	1.672272497
844	1.672133788
845	1.67183875
846	1.671610074
847	1.671295294
848	1.671050642
849	1.670914977
850	1.670705626
851	1.67045189
852	1.670190015
853	1.669992951
854	1.669760033
855	1.669559121
856	1.669342718
857	1.669222317
858	1.669051286
859	1.668779776
860	1.668557661
861	1.668395912
862	1.66821154
863	1.667970407
864	1.66776467
865	1.667625232
866	1.667348663
867	1.667241201
868	1.667023258
869	1.66690138
870	1.666787426
871	1.666561566
872	1.666455724
873	1.666299311
874	1.666162559
875	1.66593379
876	1.665793283
877	1.665641608
878	1.665497309
879	1.665309209
880	1.665146805
881	1.665018538
882	1.664752189
883	1.664670851
884	1.664511392
885	1.664322117
886	1.664138084
887	1.663994014
888	1.663749814
889	1.663492243
890	1.663364903
891	1.662996587
892	1.66276687
893	1.662589837
894	1.662409943
895	1.662213393
896	1.661967957
897	1.661662206
898	1.661533876
899	1.661340364
900	1.661160668
901	1.661024702
902	1.660852954
903	1.660581887
904	1.660348597
905	1.660046478
906	1.659862865
907	1.659680482
908	1.659443486
909	1.659154048
910	1.658946896
911	1.658746434
912	1.658474814
913	1.65834419
914	1.658237964
915	1.658078457
916	1.657894043
917	1.65780286
918	1.657618451
919	1.657452755
920	1.65727203
921	1.657065673
922	1.656853008
923	1.65665055
924	1.656454355
925	1.656353446
926	1.656076207
927	1.655797236
928	1.655663007
929	1.655511377
930	1.655215176
931	1.655077953
932	1.654943616
933	1.65482374
934	1.654737738
935	1.654555496
936	1.654409839
937	1.654268147
938	1.653992808
939	1.653799894
940	1.653735899
941	1.653644102
942	1.653475258
943	1.653289527
944	1.652940132
945	1.652693045
946	1.652550773
947	1.652336938
948	1.65224156
949	1.652061027
950	1.651736465
951	1.651557519
952	1.65146441
953	1.651336236
954	1.651026528
955	1.650894719
956	1.65074919
957	1.6505623
958	1.650336315
959	1.650203288
960	1.649953529
961	1.64984924
962	1.649645027
963	1.64951375
964	1.649391858
965	1.649184028
966	1.649015875
967	1.648855165
968	1.648751599
969	1.648642507
970	1.648507003
971	1.648402379
972	1.648232508
973	1.648073816
974	1.647786297
975	1.647537896
976	1.647441109
977	1.647371181
978	1.647170643
979	1.646980983
980	1.646887556
981	1.646779011
982	1.646671358
983	1.646549517
984	1.646415092
985	1.646325614
986	1.646236447
987	1.646101892
988	1.645926172
989	1.645821475
990	1.645696207
991	1.645479431
992	1.645342437
993	1.645161084
994	1.645052147
995	1.644944007
996	1.644772272
997	1.644671609
998	1.644532313
999	1.644347095
