iter	Passed	Remaining
407	5334	7740
408	5345	7723
409	5358	7711
410	5371	7698
411	5385	7686
412	5398	7672
413	5411	7659
414	5423	7644
415	5435	7630
416	5449	7618
417	5463	7607
418	5479	7597
419	5491	7583
420	5503	7569
421	5517	7556
422	5529	7542
423	5542	7529
424	5555	7516
425	5569	7505
426	5582	7491
427	5595	7477
428	5607	7463
429	5619	7449
430	5633	7437
431	5646	7423
432	5659	7411
433	5672	7398
434	5686	7386
435	5698	7371
436	5712	7358
437	5726	7347
438	5738	7333
439	5752	7321
440	5766	7309
441	5779	7296
442	5791	7281
443	5804	7268
444	5816	7253
445	5828	7239
446	5842	7227
447	5854	7214
448	5867	7200
449	5879	7185
450	5891	7171
451	5904	7158
452	5914	7142
453	5926	7127
454	5941	7116
455	5957	7106
456	5973	7097
457	5987	7085
458	5999	7071
459	6013	7058
460	6025	7045
461	6038	7031
462	6050	7017
463	6062	7003
464	6075	6989
465	6087	6975
466	6098	6960
467	6110	6945
468	6123	6933
469	6137	6921
470	6149	6906
471	6160	6891
472	6172	6876
473	6185	6864
474	6197	6849
475	6208	6835
476	6221	6821
477	6233	6807
478	6247	6794
479	6258	6780
480	6271	6767
481	6284	6754
482	6298	6741
483	6310	6728
484	6325	6717
485	6341	6706
486	6353	6693
487	6367	6680
488	6380	6667
489	6394	6655
490	6408	6643
491	6420	6629
492	6431	6614
493	6444	6601
494	6456	6586
495	6468	6573
496	6482	6561
497	6498	6550
498	6509	6535
499	6521	6521
500	6533	6507
501	6546	6493
502	6558	6480
503	6570	6466
504	6585	6455
505	6598	6442
506	6611	6428
507	6623	6415
508	6635	6401
509	6648	6387
510	6660	6374
511	6672	6359
512	6685	6346
513	6699	6334
514	6712	6321
515	6726	6309
516	6739	6296
517	6753	6283
518	6765	6270
519	6779	6258
520	6791	6243
521	6803	6230
522	6816	6217
523	6830	6204
524	6843	6191
525	6855	6178
526	6869	6165
527	6882	6152
528	6893	6137
529	6904	6122
530	6916	6108
531	6927	6094
532	6940	6080
533	6955	6069
534	6968	6056
535	6982	6044
536	6994	6030
537	7006	6016
538	7018	6002
539	7031	5989
540	7043	5975
541	7059	5965
542	7071	5951
543	7085	5939
544	7098	5925
545	7111	5913
546	7124	5900
547	7136	5886
548	7149	5873
549	7163	5860
550	7176	5847
551	7189	5835
552	7201	5821
553	7213	5807
554	7226	5794
555	7240	5781
556	7253	5768
557	7265	5755
558	7278	5741
559	7290	5728
560	7301	5714
561	7314	5701
562	7326	5686
563	7340	5674
564	7353	5661
565	7366	5648
566	7378	5634
567	7391	5621
568	7404	5608
569	7415	5594
570	7428	5581
571	7440	5567
572	7455	5555
573	7470	5544
574	7483	5531
575	7495	5517
576	7508	5504
577	7520	5490
578	7531	5476
579	7542	5461
580	7553	5447
581	7565	5433
582	7578	5420
583	7591	5407
584	7606	5395
585	7617	5381
586	7629	5368
587	7642	5354
588	7655	5341
589	7667	5328
590	7679	5314
591	7692	5301
592	7705	5288
593	7719	5276
594	7732	5263
595	7743	5248
596	7757	5236
597	7771	5224
598	7784	5211
599	7798	5198
600	7812	5186
601	7825	5173
602	7838	5160
603	7853	5148
604	7865	5135
605	7878	5122
606	7891	5109
607	7905	5097
608	7917	5083
609	7929	5069
610	7942	5056
611	7955	5043
612	7969	5031
613	7981	5017
614	7994	5004
615	8008	4992
616	8021	4979
617	8033	4965
618	8047	4953
619	8059	4939
620	8071	4926
621	8083	4912
622	8095	4899
623	8108	4886
624	8123	4874
625	8136	4861
626	8148	4847
627	8161	4834
628	8174	4821
629	8185	4807
630	8198	4794
631	8210	4780
632	8221	4766
633	8234	4753
634	8245	4739
635	8257	4726
636	8271	4713
637	8284	4700
638	8295	4686
639	8308	4673
640	8321	4660
641	8336	4648
642	8349	4635
643	8364	4623
644	8378	4611
645	8390	4598
646	8403	4584
647	8415	4571
648	8428	4558
649	8442	4545
650	8456	4533
651	8471	4521
652	8485	4509
653	8497	4495
654	8510	4482
655	8523	4469
656	8536	4456
657	8548	4442
658	8561	4429
659	8572	4416
660	8585	4403
661	8599	4390
662	8610	4376
663	8622	4363
664	8636	4350
665	8648	4337
666	8661	4324
667	8674	4311
668	8685	4297
669	8699	4284
670	8712	4271
671	8723	4257
672	8737	4245
673	8749	4232
674	8763	4219
675	8777	4206
676	8789	4193
677	8802	4180
678	8814	4167
679	8826	4153
